Time,Resistance
152847,44689.56
152958,44692.24
153069,44665.68
153180,44615.72
153291,44613.78
153402,44617.92
153513,44620.6
153624,44622.54
153735,44624.74
153846,44626.68
153957,44627.42
154068,44629.86
154179,44633.76
154290,44647.4
154401,44669.58
154512,44693.2
154623,44703.2
154734,44690.78
154845,44643.5
154956,44624.5
155067,44629.36
155178,44632.54
155289,44634.24
155400,44636.44
155511,44638.14
155622,44639.12
155733,44641.06
155844,44642.76
155955,44653.98
156066,44671.28
156177,44697.1
156288,44711.98
156399,44710.02
156510,44672.74
156621,44631.56
156732,44636.44
156843,44639.12
156954,44641.56
157065,44643.5
157176,44644.72
157287,44646.42
157398,44647.64
157509,44648.86
157620,44655.44
157731,44670.8
157842,44695.88
157953,44715.62
158064,44719.52
158175,44694.92
158286,44644.48
158397,44642.28
158508,44645.94
158619,44647.88
158730,44649.1
158841,44651.54
158952,44651.78
159063,44653.5
159174,44654.46
159285,44658.36
159396,44670.8
159507,44693.7
159618,44717.08
159729,44726.84
159840,44710.02
159951,44660.06
160062,44644.72
160173,44648.86
160284,44652.02
160395,44653.74
160506,44656.66
160617,44657.88
160728,44659.1
160839,44660.56
160950,44662.02
161061,44673.48
161172,44692.24
161283,44716.6
161394,44730.24
161505,44727.82
161616,44687.6
161727,44650.08
161838,44654.96
161949,44657.88
162060,44661.04
162171,44662.76
162282,44665.44
162393,44667.38
162504,44669.08
162615,44670.3
162726,44677.62
162837,44693.2
162948,44719.52
163059,44738.78
163170,44740.72
163281,44713.2
163392,44665.18
163503,44666.4
163614,44669.32
163725,44672.74
163836,44675.18
163947,44677.12
164058,44678.58
164169,44680.3
164280,44682
164391,44687.36
164502,44700.28
164613,44724.4
164724,44746.08
164835,44755.84
164946,44741.22
165057,44691.74
165168,44677.38
165279,44682.48
165390,44686.62
165501,44688.82
165612,44691.02
165723,44693.7
165834,44694.92
165945,44696.14
166056,44697.6
166167,44698.56
166278,44699.3
166389,44700.04
166500,44701
166611,44702.22
166722,44702.46
166833,44703.94
166944,44705.4
167055,44706.62
167166,44707.58
167277,44708.32
167388,44709.3
167499,44710.26
167610,44711.24
167721,44711.72
167832,44713.2
167943,44714.66
168054,44715.62
168165,44716.6
168276,44717.58
168387,44718.8
168498,44719.76
168609,44720.02
168720,44721.24
168831,44721.96
168942,44723.18
169053,44723.92
169164,44724.64
169275,44725.62
169386,44725.86
169497,44727.56
169608,44728.06
169719,44729.28
169830,44730.24
169941,44731.22
170052,44731.96
170163,44733.18
170274,44734.14
170385,44734.64
170496,44735.86
170607,44736.34
170718,44737.06
170829,44738.54
170940,44739.02
171051,44740.24
171162,44740.24
171273,44740.96
171384,44741.7
171495,44742.44
171606,44743.4
171717,44744.14
171828,44745.6
171939,44746.58
172050,44747.3
172161,44748.52
172272,44749.5
172383,44750.96
172494,44751.44
172605,44752.42
172716,44753.4
172827,44754.38
172938,44755.58
173049,44755.34
173160,44756.56
173271,44757.3
173382,44757.78
173493,44758.26
173604,44758.76
173715,44759.74
173826,44759.74
173937,44760.46
174048,44760.94
174159,44761.68
174270,44762.16
174381,44762.66
174492,44764.12
174603,44763.62
174714,44764.6
174825,44764.84
174936,44766.06
175047,44766.56
175158,44767.04
175269,44767.52
175380,44767.78
175491,44768.26
175602,44769
175713,44770.46
175824,44771.18
175935,44772.64
176046,44772.88
176157,44773.62
176268,44773.86
176379,44774.36
